Computer 485;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 486;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 502;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;06/06/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 503;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;06/06/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 504;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;06/06/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1078;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;03/09/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1079;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;04/01/2022;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1080;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;15/04/2022;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1082;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1085;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;12/07/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1086;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;14/08/2021;14/08/2018;Temporary;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1088;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;01/04/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1089;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;14/08/2021;14/08/2018;Temporary;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1090;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;14/08/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1093;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;10/11/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1094;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;14/08/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1098;Maintenance;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;14/04/2022;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1101;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;03/01/2022;21/03/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1102;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;21/03/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1116;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;08/01/2022;08/01/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1118;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;06/10/2021;08/01/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
