Computer 4042;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4043;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4045;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4046;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4047;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4048;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4049;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4050;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4051;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4053;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4061;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4067;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4070;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4073;Production;Operational;DELL;Latitude 5420;Standard laptops;PRINOTH GMBH;AUT-TELFS;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4078;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4088;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4091;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4095;Production;Operational;DELL;Latitude 5420;Standard laptops;PRINOTH GMBH;AUT-TELFS;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4099;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4102;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4104;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4105;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4114;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4116;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4118;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4120;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4126;Production;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3867;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3869;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3870;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3877;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3880;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3981;Production;Operational;DELL;Optiplex 3090;Standard personal computers;PRINOTH GMBH;GER-HERDWANGEN;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3982;Production;Operational;DELL;Optiplex 3090;Standard personal computers;PRINOTH GMBH;GER-HERDWANGEN;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4287;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4289;Production;Operational;DELL;Optiplex 3090;Standard personal computers;PRINOTH GMBH;GER-HERDWANGEN;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4292;Production;Operational;DELL;Optiplex 3090;Standard personal computers;PRINOTH GMBH;GER-HERDWANGEN;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4294;Production;Operational;DELL;Optiplex 3090;Standard personal computers;PRINOTH GMBH;GER-HERDWANGEN;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4295;Production;Operational;DELL;Optiplex 3090;Standard personal computers;PRINOTH GMBH;GER-HERDWANGEN;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4296;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4297;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4298;Production;Operational;DELL;Optiplex 3090;Standard personal computers;PRINOTH GMBH;GER-HERDWANGEN;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4300;Production;Operational;DELL;Optiplex 3090;Standard personal computers;PRINOTH GMBH;GER-HERDWANGEN;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4303;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4304;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4310;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4311;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4312;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4313;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-TORINO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4314;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4316;Production;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Shared;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3825;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;29/04/2025;29/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3831;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;29/04/2025;29/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3847;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3848;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3850;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3922;Inactive;Operational;DELL;Latitude 5320;Standard laptops;LEITNER SPA;ITA-VIPITENO;15/06/2025;15/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3926;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;15/06/2025;15/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3930;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;15/06/2025;15/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3935;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;15/06/2025;15/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3942;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;15/06/2025;15/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3944;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;15/06/2025;15/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3945;Inactive;Operational;DELL;Latitude 5420;Standard laptops;LEITNER SPA;ITA-VIPITENO;15/06/2025;15/06/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3868;Inactive;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3871;Inactive;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3872;Inactive;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3873;Inactive;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3874;Inactive;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3875;Inactive;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3876;Inactive;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3878;Inactive;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 3879;Inactive;Operational;DELL;Optiplex 3090;Standard personal computers;LEITNER SPA;ITA-VIPITENO;11/04/2025;11/04/2022;Permanent;Intel(R) Core(TM) i5-1145G7 CPU @ 2.40GHz;28
Computer 4339;Production;Operational;DELL;Latitude 7320 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 4341;Production;Operational;DELL;Latitude 7320 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 4385;Production;Operational;DELL;Latitude 7320 2 in 1;Hybrid devices;PRINOTH SPA;ITA-VIPITENO;14/09/2022;14/09/2027;Shared;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 3651;Production;Operational;DELL;Latitude 7320 2in1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;07/12/2021;07/12/2021;Permanent;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 3683;Production;Operational;DELL;Latitude 7320 2in1;Hybrid devices;POMA SAS;RUS-MOSCOW;21/12/2021;21/12/2024;Permanent;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 3688;Production;Operational;DELL;Latitude 7320 2in1;Hybrid devices;PRINOTH SPA;GER-HERDWANGEN;01/01/2023;02/02/2022;Permanent;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 3705;Production;Operational;DELL;Latitude 7320 2in1;Hybrid devices;PRINOTH SPA;GER-HERDWANGEN;01/01/2023;01/03/2022;Permanent;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 3949;Production;Operational;DELL;Latitude 7320 2in1;Hybrid devices;PRINOTH LTD;USA-UT-SALT-LAKE-CITY;21/06/2022;21/06/2022;Permanent;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 2135;Production;Operational;DELL;Latitude 7389;Hybrid devices;PRINOTH SPA;GER-HERDWANGEN;01/01/2017;01/01/2017;Permanent;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 2199;Production;Operational;DELL;Latitude 7390 2 in 1;Hybrid devices;PRINOTH SPA;GER-HERDWANGEN;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-1140G7 11th Gen 1.10 GHz;15
Computer 2921;Production;Operational;DELL;Optiplex 7080;Standard personal computers;PRINOTH NA;CAN-GRANBY;13/03/2024;12/03/2021;Permanent;Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz;65
Computer 1334;Inactive;Operational;DELL;Latitude 5480;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2021;01/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1258;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1259;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;14/09/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1260;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;13/09/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1261;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;30/08/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1262;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-GILLY;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1263;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-GILLY;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1264;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1265;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;19/04/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1266;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1267;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1268;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1269;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1270;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1271;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;14/09/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1272;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;13/09/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1273;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-GILLY;30/06/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1274;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-GILLY;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1275;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;03/11/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1276;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;22/01/2024;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1277;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;14/09/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1278;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;18/10/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1279;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;14/09/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 1280;Production;Operational;DELL;Latitude 5310;Standard laptops;POMA SAS;FRA-VOREPPE;20/05/2021;22/01/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3478;Production;Operational;DELL;Latitude 5320;Hybrid devices;LEITNER SPA;AUT-TELFS;01/07/2023;10/08/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3479;Production;Operational;DELL;Latitude 5320;Hybrid devices;LEITNER SPA;AUT-TELFS;01/07/2023;10/08/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3480;Production;Operational;DELL;Latitude 5320;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/07/2023;10/08/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3481;Production;Operational;DELL;Latitude 5320;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/07/2023;10/08/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3482;Production;Operational;DELL;Latitude 5320;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/07/2023;10/08/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3483;Production;Operational;DELL;Latitude 5320;Hybrid devices;LEITNER SPA;AUT-TELFS;01/07/2023;10/08/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3592;Production;Operational;DELL;Latitude 5320;Hybrid devices;PRINOTH LTD;CAN-GRANBY;29/10/2021;29/10/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3920;Production;Operational;DELL;Latitude 5320;Hybrid devices;LEITNER SPA;ITA-VIPITENO;16/06/2022;16/06/2024;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 4317;Production;Operational;DELL;Latitude 5320;Hybrid devices;LEITNER SPA;ITA-VIPITENO;20/06/2025;20/06/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3706;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VOREPPE;06/12/2024;06/12/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3707;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VOREPPE;06/12/2024;06/12/2021;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3716;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VEYRINS;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3720;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-PASSY;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3722;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VOREPPE;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3724;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VOREPPE;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3728;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VOREPPE;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3729;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VOREPPE;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3731;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VOREPPE;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3733;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VOREPPE;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3734;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-VOREPPE;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3735;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA SAS;FRA-PASSY;28/03/2025;28/03/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3954;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA BEIJING ROPEWAY CO. LTD;CHN-HUAIROU;01/07/2025;01/07/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
Computer 3955;Production;Operational;DELL;Latitude 5320;Standard laptops;POMA BEIJING ROPEWAY CO. LTD;CHN-HUAIROU;01/07/2025;01/07/2022;Permanent;Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz;15
